SKATER METRIC WEIGHTS — FORWARDS AND DEFENSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
model_type,category,category_weight_pct,metric_key,display_name,source_columns_required,calculation,direction,normalization,score_method,metric_weight_in_category_pct,final_weight_pct,include_in_v1_score,sample_rule,team_success_link,notes
Forward,Puck Management,14,puck_losses_dz_per60_inv,DZ Puck Losses / 60,Puck losses in DZ; Time on ice,DZ losses / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,18,2.52,1,min 100 TOI min,Puck losses in DZ,High-danger risk.
Forward,Puck Management,14,accurate_pass_pct_adj,Adjusted Pass Accuracy,"Passes; Accurate passes; Accurate passes, %",Shrinkage-adjusted accurate passes / passes,higher_is_better,adjusted_percentage,position_percentile,18,2.52,1,min 50 passes,Accurate passes %,Controls volume vs efficiency.
Forward,Puck Management,14,accurate_passes_per60,Accurate Passes / 60,Accurate passes; Time on ice,Accurate passes / TOI_minutes * 60,higher_is_better,per_60,position_percentile,8,1.12,1,min 100 TOI min,Accurate passes,Volume supporting pass efficiency.
Forward,Puck Management,14,puck_control_time_per60_context,Puck Control Time / 60,Puck control time; Time on ice,Puck control time / TOI_minutes * 60,context_dependent,per_60_context,context_percentile,5,0.7,1,min 100 TOI min,Possession,"Context, not pure quality."
Forward,Puck Management,14,errors_leading_goal_per60_inv,Errors Leading to Goal / 60,Error leading to goal; Time on ice,Errors / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,9,1.26,1,min 100 TOI min,Goals against/risk,High-impact mistake flag.
Forward,Defensive Impact,10,opp_xg_on_ice_per60_inv,Opponent xG On Ice / 60,Opponent's xG when on ice; Time on ice,Opponent xG on ice / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,30,3,1,min 100 TOI min,Opponent xG,Best forward suppression proxy.
Forward,Defensive Impact,10,takeaways_oz_per60,OZ Takeaways / 60,Takeaways in OZ; Time on ice,OZ takeaways / TOI_minutes * 60,higher_is_better,per_60,position_percentile,20,2,1,min 100 TOI min,Takeaways in OZ,Forecheck pressure.
Forward,Defensive Impact,10,takeaways_per60,Takeaways / 60,Takeaways; Time on ice,Takeaways / TOI_minutes * 60,higher_is_better,per_60,position_percentile,15,1.5,1,min 100 TOI min,Takeaways,General disruption.
Forward,Defensive Impact,10,shots_blocking_per60,Shots Blocking / 60,Shots blocking; Time on ice,Shots blocking / TOI_minutes * 60,higher_is_better,per_60,position_percentile,10,1,1,min 100 TOI min,Shots blocking,Defensive commitment.
Forward,Defensive Impact,10,blocked_shots_slot_per60,Blocked Slot Shots / 60,Blocked shots from the slot; Time on ice,Blocked slot shots / TOI_minutes * 60,higher_is_better,per_60,position_percentile,10,1,1,min 100 TOI min,Blocked shots from slot,Protects dangerous ice.
Forward,Defensive Impact,10,playing_in_defense_context,Playing in Defense Context,Playing in defense,Use as context; high value is not automatically good.,context_dependent,context,context_flag,5,0.5,0,N/A,DZ possession/context,Display only unless combined with suppression.
Forward,Defensive Impact,10,ev_dz_retrievals_context_adj,EV DZ Retrievals / 60 Context-Adjusted,EV DZ retrievals; Time on ice; Opponent xG; Puck losses DZ,Reward retrievals only when paired with low DZ losses and low opp xG.,context_dependent,composite,custom_composite,10,1,1,min 100 TOI min,EV DZ retrievals,Avoid over-rewarding players stuck defending.
Forward,Battle / Compete & Recoveries,10,puck_battles_won_per60,Puck Battles Won / 60,Puck battles won; Time on ice,Battles won / TOI_minutes * 60,higher_is_better,per_60,position_percentile,25,2.5,1,min 100 TOI min,Puck battles won,Volume of won contests.
Forward,Battle / Compete & Recoveries,10,adjusted_battle_win_pct,Adjusted Puck Battle Win %,"Puck battles; Puck battles won; Puck battles won, %",Shrinkage-adjusted battle win percentage.,higher_is_better,adjusted_percentage,position_percentile,25,2.5,1,min 20 battles; shrink if lower,Puck battles won %,Solves 15/20 vs 4/4 issue.
Forward,Battle / Compete & Recoveries,10,loose_puck_recoveries_per60,Loose Puck Recoveries / 60,Loose puck recovery; Time on ice,Loose recoveries / TOI_minutes * 60,higher_is_better,per_60,position_percentile,15,1.5,1,min 100 TOI min,Loose puck recovery,Possession wins.
Forward,Battle / Compete & Recoveries,10,ev_oz_retrievals_per60,EV OZ Retrievals / 60,EV OZ retrievals; Time on ice,EV OZ retrievals / TOI_minutes * 60,higher_is_better,per_60,position_percentile,15,1.5,1,min 100 TOI min,EV OZ retrievals,Extends offense.
Forward,Battle / Compete & Recoveries,10,puck_retrievals_after_shots_per60,Puck Retrievals After Shots / 60,Puck retrievals after shots; Time on ice,Retrievals after shots / TOI_minutes * 60,higher_is_better,per_60,position_percentile,10,1,1,min 100 TOI min,OZ play with shots,Second-chance offense.
Forward,Battle / Compete & Recoveries,10,puck_battles_oz_per60,OZ Puck Battles / 60,Puck battles in OZ; Time on ice,OZ battles / TOI_minutes * 60,higher_is_better,per_60,position_percentile,10,1,1,min 100 TOI min,OZ retrievals/forecheck,Forecheck engagement.
Forward,Special Teams,5,pp_shots_per60,PP Shots / 60,Power play shots; Power play time,PP shots / PP TOI * 60,higher_is_better,per_60,position_percentile,25,1.25,1,min PP TOI threshold,"Power play shots, PP success",Use only if PP TOI exists.
Forward,Special Teams,5,pp_retrievals_per60_context,PP Retrievals / 60,Power play retrievals; Power play time,PP retrievals / PP TOI * 60,context_dependent,per_60_context,context_percentile,15,0.75,1,min PP TOI threshold,Power play retrievals,Can reflect pressure or messy PP; context.
Forward,Special Teams,5,sh_shots_per60,SH Shots / 60,Short-handed shots; Short-handed time,SH shots / SH TOI * 60,higher_is_better,per_60,position_percentile,10,0.5,1,min SH TOI threshold,Short-handed shots,Aggressive PK threat.
Forward,Special Teams,5,pk_retrievals_per60,PK Retrievals / 60,Penalty kill retrievals; Short-handed time,PK retrievals / SH TOI * 60,higher_is_better,per_60,position_percentile,20,1,1,min SH TOI threshold,PK retrievals,PK value if tracked.
Forward,Special Teams,5,penalties_drawn_per60,Penalties Drawn / 60,Penalties drawn; Time on ice,Penalties drawn / TOI_minutes * 60,higher_is_better,per_60,position_percentile,15,0.75,1,min 100 TOI min,Penalties drawn,Creates PP chances.
Forward,Special Teams,5,penalty_time_per60_inv,Penalty Time / 60,Penalty time; Time on ice,Penalty minutes / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,15,0.75,1,min 100 TOI min,Penalty time,Risk control.
Forward,Discipline / Risk,4,penalty_time_per60_inv,Penalty Time / 60,Penalty time; Time on ice,Penalty minutes / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,35,1.4,1,min 100 TOI min,Penalty time,Main discipline risk.
Forward,Discipline / Risk,4,penalties_per60_inv,Penalties / 60,Penalties; Time on ice,Penalties / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,25,1,1,min 100 TOI min,Penalties,Frequency risk.
Forward,Discipline / Risk,4,penalties_drawn_per60,Penalties Drawn / 60,Penalties drawn; Time on ice,Penalties drawn / TOI_minutes * 60,higher_is_better,per_60,position_percentile,20,0.8,1,min 100 TOI min,Penalties drawn,Positive discipline/pressure.
Forward,Discipline / Risk,4,puck_losses_oz_per60_inv,OZ Puck Losses / 60,Puck losses in OZ; Time on ice,OZ puck losses / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,10,0.4,1,min 100 TOI min,Puck losses OZ,Lower weight than NZ/DZ losses.
Forward,Discipline / Risk,4,errors_leading_goal_per60_inv,Errors Leading to Goal / 60,Error leading to goal; Time on ice,Errors / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,10,0.4,1,min 100 TOI min,Errors leading to goal,High-cost risk.
Defense,Defensive Impact & Suppression,24,opp_xg_on_ice_per60_inv,Opponent xG On Ice / 60,Opponent's xG when on ice; Time on ice,Opponent xG / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,25,6,1,min 100 TOI min,Opponent xG,Core defensive suppression.
Defense,Defensive Impact & Suppression,24,net_xg_per60,Net xG / 60,Net xG (xG player on - opp. team's xG); Time on ice,Net xG / TOI_minutes * 60,higher_is_better,per_60,position_percentile,20,4.8,1,min 100 TOI min,Net xG,Two-way on-ice impact.
Defense,Defensive Impact & Suppression,24,shots_blocking_per60,Shots Blocking / 60,Shots blocking; Time on ice,Shots blocking / TOI_minutes * 60,higher_is_better,per_60,position_percentile,14,3.36,1,min 100 TOI min,Shots blocking,Defensive actions.
Defense,Defensive Impact & Suppression,24,blocked_shots_slot_per60,Blocked Slot Shots / 60,Blocked shots from the slot; Time on ice,Blocked slot shots / TOI_minutes * 60,higher_is_better,per_60,position_percentile,12,2.88,1,min 100 TOI min,Blocked shots from slot,Protects middle.
Defense,Defensive Impact & Suppression,24,takeaways_dz_per60,DZ Takeaways / 60,Takeaways in DZ; Time on ice,DZ takeaways / TOI_minutes * 60,higher_is_better,per_60,position_percentile,10,2.4,1,min 100 TOI min,Takeaways DZ,Stops pressure.
Defense,Defensive Impact & Suppression,24,ev_dz_retrievals_context_adj,EV DZ Retrievals Context-Adjusted,EV DZ retrievals; Time on ice; DZ losses; Opp xG,Reward retrievals if paired with exits/low losses.,context_dependent,custom_composite,custom_composite,9,2.16,1,min 100 TOI min,EV DZ retrievals,Context-adjusted only.
Defense,Defensive Impact & Suppression,24,opponent_dumpin_retrievals_per60,Opponent Dump-In Retrievals / 60,Opponent’s dump-in retrievals; Time on ice,Opponent dump-in retrievals / TOI_minutes * 60,higher_is_better,per_60,position_percentile,10,2.4,1,min 100 TOI min,Opponent dump-in retrievals,Important defensive retrieval skill.
Defense,Puck Management & Exits,22,puck_losses_dz_per60_inv,DZ Puck Losses / 60,Puck losses in DZ; Time on ice,DZ losses / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,24,5.28,1,min 100 TOI min,Puck losses DZ,Highest-risk defense turnover.
Defense,Puck Management & Exits,22,puck_losses_nz_per60_inv,NZ Puck Losses / 60,Puck losses in NZ; Time on ice,NZ losses / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,18,3.96,1,min 100 TOI min,Puck losses NZ,Transition risk.
Defense,Puck Management & Exits,22,breakouts_via_pass_per60,Breakouts via Pass / 60,Breakouts via pass; Time on ice,Breakouts via pass / TOI_minutes * 60,higher_is_better,per_60,position_percentile,18,3.96,1,min 100 TOI min,Breakouts,First pass/exits.
Defense,Puck Management & Exits,22,breakouts_per60,Breakouts / 60,Breakouts; Time on ice,Breakouts / TOI_minutes * 60,higher_is_better,per_60,position_percentile,12,2.64,1,min 100 TOI min,Breakouts,Exit involvement.
Defense,Puck Management & Exits,22,accurate_pass_pct_adj,Adjusted Pass Accuracy,"Passes; Accurate passes; Accurate passes, %",Shrinkage-adjusted accurate passes / passes,higher_is_better,adjusted_percentage,position_percentile,16,3.52,1,min 50 passes,Accurate passes %,Clean puck movement.
Defense,Puck Management & Exits,22,errors_leading_goal_per60_inv,Errors Leading to Goal / 60,Error leading to goal; Time on ice,Errors / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,8,1.76,1,min 100 TOI min,Errors leading to goal,Catastrophic risk.
Defense,Puck Management & Exits,22,breakouts_via_dumpout_context,Breakouts via Dump Out / 60,Breakouts via dump out; Time on ice,Dump-out exits / TOI_minutes * 60,context_dependent,per_60_context,context_percentile,4,0.88,1,min 100 TOI min,Dump outs,Can be safe or passive.
Defense,Possession & On-Ice Impact,17,corsi_for_pct_adj,Adjusted Corsi For %,"CORSI+; CORSI-; CORSI for, %",Adjusted Corsi for %,higher_is_better,adjusted_percentage,position_percentile,25,4.25,1,min 100 Corsi events,CORSI%,Territorial control.
Defense,Possession & On-Ice Impact,17,fenwick_for_pct_adj,Adjusted Fenwick For %,"Fenwick for; Fenwick against; Fenwick for, %",Adjusted Fenwick for %,higher_is_better,adjusted_percentage,position_percentile,20,3.4,1,min 75 Fenwick events,Fenwick for %,Shot-share without blocks.
Defense,Possession & On-Ice Impact,17,net_xg_per60,Net xG / 60,Net xG (xG player on - opp. team's xG); Time on ice,Net xG / TOI_minutes * 60,higher_is_better,per_60,position_percentile,20,3.4,1,min 100 TOI min,Net xG,Two-way value.
Defense,Possession & On-Ice Impact,17,team_xg_on_ice_per60,Team xG On Ice / 60,Team xG when on ice; Time on ice,Team xG / TOI_minutes * 60,higher_is_better,per_60,position_percentile,12,2.04,1,min 100 TOI min,Team xG on ice,Offensive support.
Defense,Possession & On-Ice Impact,17,dz_possession_context,DZ Possession Context,DZ possession,Display as context; not automatically good.,context_dependent,context,context_flag,8,1.36,0,N/A,DZ possession,High DZ time can be bad or role-driven.
Defense,Possession & On-Ice Impact,17,oz_possession_per60,OZ Possession / 60,OZ possession; Time on ice,OZ possession / TOI_minutes * 60,higher_is_better,per_60,position_percentile,8,1.36,1,min 100 TOI min,OZ possession,Helps identify D who move play up ice.
Defense,Possession & On-Ice Impact,17,playing_in_defense_context,Playing in Defense Context,Playing in defense,Context only,context_dependent,context,context_flag,7,1.19,0,N/A,Playing in defense,Display but don't directly score.
Defense,Transition Support,12,breakouts_via_pass_per60,Breakouts via Pass / 60,Breakouts via pass; Time on ice,Breakouts via pass / TOI_minutes * 60,higher_is_better,per_60,position_percentile,25,3,1,min 100 TOI min,Breakouts,Primary transition support.
Defense,Transition Support,12,entries_via_pass_per60,Entries via Pass / 60,Entries via pass; Time on ice,Entries via pass / TOI_minutes * 60,higher_is_better,per_60,position_percentile,20,2.4,1,min 100 TOI min,Entries,Offensive transition support.
Defense,Transition Support,12,entries_per60,Entries / 60,Entries; Time on ice,Entries / TOI_minutes * 60,higher_is_better,per_60,position_percentile,15,1.8,1,min 100 TOI min,Entries,Controlled involvement.
Defense,Transition Support,12,breakouts_via_stickhandling_per60,Breakouts via Stickhandling / 60,Breakouts via stickhandling; Time on ice,Breakouts via stickhandling / TOI_minutes * 60,higher_is_better,per_60,position_percentile,15,1.8,1,min 100 TOI min,Breakouts,Escape pressure ability.
Defense,Transition Support,12,pass_receptions_per60,Pass Receptions / 60,Pass receptions; Time on ice,Pass receptions / TOI_minutes * 60,higher_is_better,per_60,position_percentile,10,1.2,1,min 100 TOI min,Support,Availability in transition.
Defense,Transition Support,12,counter_attack_shots_per60,Counter-Attack Shots / 60,Counter-attack shots; Time on ice,Counter-attack shots / TOI_minutes * 60,higher_is_better,per_60,position_percentile,8,0.96,1,min 100 TOI min,Counter-attack shots,Rush support.
Defense,Transition Support,12,dump_outs_context,Dump Outs Context,Dump outs; Time on ice,Dump outs / TOI_minutes * 60,context_dependent,per_60_context,context_flag,7,0.84,0,N/A,Dump outs,Display only.
Defense,Battle / Recoveries,10,adjusted_battle_win_pct,Adjusted Puck Battle Win %,"Puck battles; Puck battles won; Puck battles won, %",Shrinkage-adjusted battle win %.,higher_is_better,adjusted_percentage,position_percentile,25,2.5,1,min 20 battles; shrink if lower,Puck battles won %,Balances volume and efficiency.
Defense,Battle / Recoveries,10,puck_battles_won_per60,Puck Battles Won / 60,Puck battles won; Time on ice,Battles won / TOI_minutes * 60,higher_is_better,per_60,position_percentile,20,2,1,min 100 TOI min,Puck battles won,Battle volume.
Defense,Battle / Recoveries,10,puck_battles_dz_per60_context,DZ Puck Battles / 60,Puck battles in DZ; Time on ice,DZ battles / TOI_minutes * 60,context_dependent,per_60_context,context_percentile,15,1.5,1,min 100 TOI min,Puck battles DZ,Context-adjust with suppression/exits.
Defense,Battle / Recoveries,10,loose_puck_recoveries_per60,Loose Puck Recoveries / 60,Loose puck recovery; Time on ice,Recoveries / TOI_minutes * 60,higher_is_better,per_60,position_percentile,15,1.5,1,min 100 TOI min,Loose puck recovery,Possession regains.
Defense,Battle / Recoveries,10,ev_dz_retrievals_per60_context,EV DZ Retrievals / 60,EV DZ retrievals; Time on ice,EV DZ retrievals / TOI_minutes * 60,context_dependent,per_60_context,context_percentile,15,1.5,1,min 100 TOI min,EV DZ retrievals,Useful but can mean more defending.
Defense,Battle / Recoveries,10,puck_retrievals_after_shots_per60,Puck Retrievals After Shots / 60,Puck retrievals after shots; Time on ice,Retrievals after shots / TOI_minutes * 60,higher_is_better,per_60,position_percentile,10,1,1,min 100 TOI min,OZ play with shots,Extends possessions.
Defense,Offensive Support,8,xg_per60,xG / 60,xG (Expected goals); Time on ice,xG / TOI_minutes * 60,higher_is_better,per_60,position_percentile,22,1.76,1,min 100 TOI min,xG,Offensive support from D.
Defense,Offensive Support,8,shots_on_goal_per60,Shots on Goal / 60,Shots on goal; Time on ice,SOG / TOI_minutes * 60,higher_is_better,per_60,position_percentile,18,1.44,1,min 100 TOI min,Shots on goal,Puck-through/shot pressure.
Defense,Offensive Support,8,passes_to_slot_per60,Passes to Slot / 60,Passes to the slot; Time on ice,Slot passes / TOI_minutes * 60,higher_is_better,per_60,position_percentile,18,1.44,1,min 100 TOI min,Passes to slot,High-value playmaking.
Defense,Offensive Support,8,scoring_chances_per60,Scoring Chances / 60,Scoring chances - total; Time on ice,Chances / TOI_minutes * 60,higher_is_better,per_60,position_percentile,16,1.28,1,min 100 TOI min,Scoring chances,Quality creation.
Defense,Offensive Support,8,inner_slot_shots_per60,Inner Slot Shots / 60,Inner slot shots - total; Time on ice,Inner slot / TOI_minutes * 60,higher_is_better,per_60,position_percentile,10,0.8,1,min 100 TOI min,Inner slot shots,"Lower for D, but valuable."
Defense,Offensive Support,8,points_per60_context,Points / 60 Context,Points; Time on ice,Points / TOI_minutes * 60,higher_is_better,per_60_context,context_percentile,6,0.48,0,N/A,Goals/points,Outcome context only.
Defense,Offensive Support,8,ev_oz_retrievals_per60,EV OZ Retrievals / 60,EV OZ retrievals; Time on ice,EV OZ retrievals / TOI_minutes * 60,higher_is_better,per_60,position_percentile,10,0.8,1,min 100 TOI min,EV OZ retrievals,Keeps pucks alive.
Defense,Special Teams,4,pk_retrievals_per60,PK Retrievals / 60,Penalty kill retrievals; Short-handed time,PK retrievals / SH TOI * 60,higher_is_better,per_60,position_percentile,25,1,1,min SH TOI threshold,PK retrievals,PK impact if populated.
Defense,Special Teams,4,sh_shots_per60,SH Shots / 60,Short-handed shots; Short-handed time,SH shots / SH TOI * 60,higher_is_better,per_60,position_percentile,10,0.4,1,min SH TOI threshold,Short-handed shots,Low-weight PK offense.
Defense,Special Teams,4,pp_shots_per60,PP Shots / 60,Power play shots; Power play time,PP shots / PP TOI * 60,higher_is_better,per_60,position_percentile,15,0.6,1,min PP TOI threshold,PP shots,PP point-shot threat.
Defense,Special Teams,4,pp_retrievals_context,PP Retrievals / 60 Context,Power play retrievals; Power play time,PP retrievals / PP TOI * 60,context_dependent,per_60_context,context_percentile,10,0.4,1,min PP TOI threshold,PP retrievals,Context only.
Defense,Special Teams,4,penalty_killing_time_context,PK Time Context,Short-handed time,Use as role context,context_dependent,context,context_flag,10,0.4,0,N/A,PK usage,Role indicator.
Defense,Special Teams,4,pp_time_context,PP Time Context,Power play time,Use as role context,context_dependent,context,context_flag,10,0.4,0,N/A,PP usage,Role indicator.
Defense,Special Teams,4,penalty_time_per60_inv,Penalty Time / 60,Penalty time; Time on ice,Penalty minutes / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,20,0.8,1,min 100 TOI min,Penalty time,Risk control.
Defense,Discipline / Risk,3,penalty_time_per60_inv,Penalty Time / 60,Penalty time; Time on ice,Penalty minutes / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,30,0.9,1,min 100 TOI min,Penalty time,Discipline risk.
Defense,Discipline / Risk,3,penalties_per60_inv,Penalties / 60,Penalties; Time on ice,Penalties / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,25,0.75,1,min 100 TOI min,Penalties,Frequency risk.
Defense,Discipline / Risk,3,errors_leading_goal_per60_inv,Errors Leading to Goal / 60,Error leading to goal; Time on ice,Errors / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,25,0.75,1,min 100 TOI min,Errors leading to goal,High-cost mistake.
Defense,Discipline / Risk,3,puck_losses_oz_per60_inv,OZ Puck Losses / 60,Puck losses in OZ; Time on ice,OZ puck losses / TOI_minutes * 60,lower_is_better,per_60_inverted,position_percentile_inverted,10,0.3,1,min 100 TOI min,Puck losses OZ,Lower risk than DZ/NZ losses.
Defense,Discipline / Risk,3,penalties_drawn_per60,Penalties Drawn / 60,Penalties drawn; Time on ice,Penalties drawn / TOI_minutes * 60,higher_is_better,per_60,position_percentile,10,0.3,1,min 100 TOI min,Penalties drawn,Positive discipline.
