kpi_key,name,category,weight,r_value,direction,include_in_score,cluster,notes,current_value,coaching_adjustment,display_order
puck_battles_dz,Puck battles in DZ,defense,1.7436,0.017433,lower_is_better,true,Tier 2 — Important Driver,Rank 26 of 58 | Tier 2 — Important Driver | Process KPI | Puck battle events in own zone. Fewer DZ battles = less time under defensive pressure.,,1.0,25
puck_battles_won_pct,"Puck battles won, %",offense,1.7402,0.017399,higher_is_better,true,Tier 2 — Important Driver,Rank 27 of 58 | Tier 2 — Important Driver | Process KPI | Rate of puck battle success across all zones. Reflects compete level at board battles.,,1.0,26
oz_possession,OZ possession,offense,1.7368,0.017365,higher_is_better,true,Tier 2 — Important Driver,Rank 28 of 58 | Tier 2 — Important Driver | Process KPI | Offensive zone possession time. Broader territorial control measure — overlaps with OZ play.,,1.0,27
takeaways_dz,Takeaways in DZ,defense,1.6262,0.016260,lower_is_better,true,Tier 3 — Supporting Indicator,Rank 29 of 58 | Tier 3 — Supporting Indicator | Process KPI | Steals by the team in own defensive zone. High count signals prolonged DZ pressure.,,1.0,28
dz_possession,DZ possession,defense,1.3533,0.013531,lower_is_better,true,Tier 3 — Supporting Indicator,Rank 30 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Defensive zone possession time. Lower = less time under pressure in own end.,,1.0,29
xg_per_goal,xG per goal,offense,1.3003,0.013001,lower_is_better,true,Tier 3 — Supporting Indicator,Rank 31 of 58 | Tier 3 — Supporting Indicator | Supporting Context | xG required per goal scored. Lower = more clinical finishing relative to shot quality generated.,,1.0,30
breakouts,Breakouts,defense,1.2913,0.012911,lower_is_better,true,Tier 3 — Supporting Indicator,Rank 32 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Zone exit events from own end. Fewer breakouts needed signals less time defending own zone.,,1.0,31
opp_xg_per_goal,Opponent's xG per goal,defense,1.2778,0.012776,higher_is_better,true,Tier 3 — Supporting Indicator,Rank 33 of 58 | Tier 3 — Supporting Indicator | Supporting Context | xG opponent requires per goal scored against Dal. Higher = opponents shooting inefficiently.,,1.0,32
goals_for,Goals For,offense,1.2502,0.012500,higher_is_better,true,Tier 1 — Core Driver,"Rank 34 of 58 | Tier 1 — Core Driver | Outcome/Context | Outcome metric. Scoring is the objective of offensive play, but kept low-weighted so process indicators — xG, scoring chances, OZ possession — remain dominant.",,1.0,33
opp_xg_per_shot,Opponent's xG per shot,defense,1.2259,0.012257,lower_is_better,true,Tier 3 — Supporting Indicator,Rank 35 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Average xG value of each opponent shot allowed. Lower = better shot suppression and defensive structure.,,1.0,34
xg_per_shot,xG per shot,offense,1.0590,0.010588,higher_is_better,true,Tier 3 — Supporting Indicator,Rank 36 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Average shot quality generated. Higher = better shot selection and chance quality.,,1.0,35
puck_battles_nz,Puck battles in NZ,defense,1.0252,0.010250,lower_is_better,true,Tier 3 — Supporting Indicator,Rank 37 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Neutral zone puck battles. Lower count may reflect cleaner transition play.,,1.0,36
faceoff_pct,"Faceoffs won, %",defense,0.9845,0.009844,higher_is_better,true,Tier 3 — Supporting Indicator,Rank 38 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Overall faceoff win rate. Provides clean possession starts. Rate version only — counts excluded.,,1.0,37
faceoff_dz_pct,"Faceoffs won in DZ, %",defense,0.9575,0.009574,higher_is_better,true,Tier 3 — Supporting Indicator,Rank 39 of 58 | Tier 3 — Supporting Indicator | Supporting Context | DZ faceoff win rate. Reduces immediate pressure in own zone following icing or goalie freezes.,,1.0,38
nz_possession,NZ possession,defense,0.9022,0.009021,higher_is_better,true,Tier 3 — Supporting Indicator,Rank 40 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Neutral zone possession time. Proxy for transition control — teams that own the NZ control game flow.,,1.0,39
blocked_shots_against,Blocked shots,defense,0.8954,0.008953,lower_is_better,true,Tier 3 — Supporting Indicator,Rank 41 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Dal's shots blocked by opponents. Fewer = better shot lane creation.,,1.0,40
shots_blocked_for,Shots blocking,defense,0.8751,0.008750,higher_is_better,true,Tier 3 — Supporting Indicator,Rank 42 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Shots blocked by Dal defenders. Reflects shot-blocking effort and defensive commitment.,,1.0,41
pk_retrievals,Penalty kill retrievals,special_teams,0.8560,0.008559,lower_is_better,true,Tier 3 — Supporting Indicator,Rank 43 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Puck retrievals while on the penalty kill. Lower preferred — signals cleaner PK execution.,,1.0,42
faceoff_nz_pct,"Faceoffs won in NZ, %",defense,0.6778,0.006777,higher_is_better,true,Tier 3 — Supporting Indicator,Rank 44 of 58 | Tier 3 — Supporting Indicator | Supporting Context | NZ faceoff win rate. Influences transition possession directly from neutral zone draws.,,1.0,43
faceoff_oz_pct,"Faceoffs won in OZ, %",offense,0.6541,0.006540,higher_is_better,true,Tier 3 — Supporting Indicator,Rank 45 of 58 | Tier 3 — Supporting Indicator | Supporting Context | OZ faceoff win rate. Maintains offensive zone possession after stoppages.,,1.0,44
counterattack_shot_pct,"Counter-attack with shots, %",offense,0.6496,0.006495,higher_is_better,true,Tier 3 — Supporting Indicator,Rank 46 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Rate at which counter-attacks produce a shot. Reflects transition efficiency and quick-strike ability.,,1.0,45
puck_battles_oz,Puck battles in OZ,offense,0.6485,0.006484,higher_is_better,true,Tier 3 — Supporting Indicator,Rank 47 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Puck battle events in offensive zone. More OZ battles = more sustained offensive zone pressure.,,1.0,46
shorthanded_time,Short-handed time,special_teams,0.5639,0.005638,lower_is_better,true,Tier 3 — Supporting Indicator,Rank 48 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Total ice time while shorthanded. Better PK burden measure than count alone — captures major penalties and extended kills.,,1.0,47
penalty_time,Penalty time,special_teams,0.5639,0.005638,lower_is_better,true,Tier 3 — Supporting Indicator,Rank 49 of 58 | Tier 3 — Supporting Indicator | Supporting Context | Total penalty minutes taken. Lower = better discipline and fewer PK situations faced.,,1.0,48
counterattack_shots,Counter-attack with shots,offense,0.4534,0.004533,higher_is_better,true,Tier 4 — Context Metric,Rank 50 of 58 | Tier 4 — Context Metric | Supporting Context | Counter-attacks that generate a shot. Reflects transition-to-shot conversion.,,1.0,49
dump_ins,Dump ins,offense,0.3835,0.003834,higher_is_better,true,Tier 4 — Context Metric,Rank 51 of 58 | Tier 4 — Context Metric | Supporting Context | Dump-in zone entries. Paired with Entries — allows calculation of controlled entry rate.,,1.0,50
takeaways_oz,Takeaways in OZ,offense,0.3666,0.003665,higher_is_better,true,Tier 4 — Context Metric,Rank 52 of 58 | Tier 4 — Context Metric | Supporting Context | Steals in offensive zone. Generates immediate high-danger chances. Dal development priority.,,1.0,51
oz_play_shots_pct,"OZ play with shots, %",offense,0.2463,0.002463,higher_is_better,true,Tier 4 — Context Metric,Rank 53 of 58 | Tier 4 — Context Metric | Supporting Context | Percentage of OZ sequences that include a shot. Secondary efficiency context — overlaps with OZ play with shots.,,1.0,52
counterattacks,Counterattacks,offense,0.2089,0.002089,higher_is_better,true,Tier 4 — Context Metric,Rank 54 of 58 | Tier 4 — Context Metric | Supporting Context | Total counter-attack sequences. Volume context — paired with counter-attack shot % for effectiveness.,,1.0,53
puck_losses_oz,Puck losses in OZ,defense,0.1571,0.001571,lower_is_better,true,Tier 4 — Context Metric,Rank 55 of 58 | Tier 4 — Context Metric | Supporting Context | Turnovers in offensive zone. Near-noise (|r|=0.02). Retained for zone-level completeness.,,1.0,54
pp_retrievals,Power play retrievals,special_teams,0.0902,0.000902,lower_is_better,true,Tier 4 — Context Metric,Rank 56 of 58 | Tier 4 — Context Metric | Supporting Context | Puck retrievals during power plays. Lower preferred — signals cleaner PP execution.,,1.0,55
takeaways_nz,Takeaways in NZ,defense,0.0821,0.000821,higher_is_better,true,Tier 4 — Context Metric,Rank 57 of 58 | Tier 4 — Context Metric | Supporting Context | Neutral zone steals. Minimal predictive power (|r|=0.01). Retained for zone-level completeness.,,1.0,56
dump_outs,Dump outs,defense,0.0505,0.000505,higher_is_better,true,Tier 4 — Context Metric,Rank 58 of 58 | Tier 4 — Context Metric | Supporting Context | Dump-out exits from own zone. Context dependent — can reflect smart zone exits or passive defending.,,1.0,57
